;PKII;MessageID;Teplota;Tlak;Vlhkost;Výška(BME280);U-Shunt;U-Bus;Proud;U-Load;RSSI;Zem. šířka(Lat.);Zem.délka(Lon.);Souřadnice;Rok;Měsíc;Den;Čas;Hodiny;Minuty;Sekundy;SIV;Výška(GPS);TeplotaW;TlakW;VlhkostW;VýškaW(BME280);Teplota Stanice;Tlak Stanice;Vlhkost Stanice;Výška Stanice(BME280)
;PKII_OCS;222;26.35;983.59;56.89;515.4;5.71;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:17;2;2;17;0;0;0.00;0.00;0.00;0.00;26.67;983.75;55.27;248.59
;PKII_OCS;223;26.35;983.61;56.89;507.9;5.12;3.90;0.00;0.00;0;501101144;140923061;0 N 0 E;0;0;0;2:0:0;2;0;0;0;0;0.00;0.00;0.00;0.00;26.67;983.74;55.28;248.67
;PKII_OCS;224;26.35;983.59;56.89;492.9;5.39;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:18;2;2;18;0;0;0.00;0.00;0.00;0.00;26.67;983.74;55.31;248.62
;PKII_OCS;226;26.35;983.59;56.89;485.4;5.22;3.90;0.00;0.00;0;501100757;140924806;0 N 0 E;0;0;0;2:0:0;2;0;0;0;0;0.00;0.00;0.00;0.00;26.67;983.70;55.30;248.54
;PKII_OCS;230;26.35;983.59;56.89;477.9;5.98;3.89;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:21;2;2;21;0;0;0.00;0.00;0.00;0.00;26.66;983.73;55.28;248.76
;PKII_OCS;231;26.35;983.58;56.92;469.6;5.17;3.90;0.00;0.00;0;501100608;140925891;0 N 0 E;2015;10;18;2:2:22;2;2;22;0;0;0.00;0.00;0.00;0.00;26.67;983.70;55.30;249.00
;PKII_OCS;232;26.35;983.65;56.93;466.0;5.22;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:23;2;2;23;0;0;0.00;0.00;0.00;0.00;26.67;983.77;55.28;248.43
;PKII_OCS;233;26.35;983.58;56.93;462.1;5.26;3.90;0.00;0.00;0;501098077;140925542;0 N 0 E;2015;10;18;2:2:24;2;2;24;0;0;0.00;0.00;0.00;0.00;26.66;983.73;55.24;248.76
;PKII_OCS;234;26.35;983.53;56.94;462.1;4.91;3.90;0.00;0.00;0;501097740;140926328;0 N 0 E;2015;10;18;2:2:25;2;2;25;0;0;0.00;0.00;0.00;0.00;26.66;983.76;55.16;248.50
;PKII_OCS;235;26.35;983.57;56.96;458.5;5.23;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:26;2;2;26;0;0;0.00;0.00;0.00;0.00;26.66;983.75;55.19;248.53
;PKII_OCS;239;26.35;983.60;56.93;454.6;5.18;3.90;0.00;0.00;0;501096306;140927780;0 N 0 E;2015;10;18;2:2:28;2;2;28;0;0;0.00;0.00;0.00;0.00;26.66;983.76;55.14;248.45
;PKII_OCS;241;26.35;983.60;56.89;454.6;5.26;3.90;0.00;0.00;0;501095674;140928886;0 N 0 E;2015;10;18;2:2:29;2;2;29;0;0;0.00;0.00;0.00;0.00;26.65;983.73;55.17;248.72
;PKII_OCS;244;26.34;983.61;56.85;453.0;5.20;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:30;2;2;30;0;0;0.00;0.00;0.00;0.00;26.64;983.67;55.10;249.21
;PKII_OCS;246;26.35;983.65;56.83;450.8;5.43;3.90;0.00;0.00;0;501094455;140930568;0 N 0 E;0;0;0;2:0:0;2;0;0;0;0;0.00;0.00;0.00;0.00;26.65;983.77;55.21;248.36
;PKII_OCS;247;26.34;983.54;56.83;450.8;5.32;3.90;0.00;0.00;0;501093153;140931691;0 N 0 E;2015;10;18;2:2:32;2;2;32;0;0;0.00;0.00;0.00;0.00;26.65;983.76;55.15;248.44
;PKII_OCS;248;26.35;983.59;56.80;448.1;5.21;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:33;2;2;33;0;0;0.00;0.00;0.00;0.00;26.65;983.75;55.22;248.56
;PKII_OCS;249;26.35;983.61;56.79;445.0;5.13;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:34;2;2;34;0;0;0.00;0.00;0.00;0.00;26.65;983.72;55.10;248.79
;PKII_OCS;250;26.35;983.60;56.79;442.0;5.39;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:35;2;2;35;0;0;0.00;0.00;0.00;0.00;26.65;983.77;55.08;248.36
;PKII_OCS;251;26.34;983.57;56.79;435.8;4.82;3.90;0.00;0.00;0;501092935;140932242;0 N 0 E;2015;10;18;2:2:36;2;2;36;0;0;0.00;0.00;0.00;0.00;26.64;983.73;55.16;248.75
;PKII_OCS;254;26.34;983.63;56.76;435.8;4.87;3.90;0.00;0.00;0;;;0 N 0 E;0;0;0;2:0:0;2;0;0;0;0;0.00;0.00;0.00;0.00;26.64;983.74;55.14;248.67
;PKII_OCS;255;26.35;983.60;56.75;435.8;4.85;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:2:38;2;2;38;0;0;0.00;0.00;0.00;0.00;26.63;983.74;55.14;248.66
